gvkey,tic,cusip,cik,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT
001268,TAABQ,016476103,,P,01,LU,11798,4366,1979-06-18,1981-11-30
001269,AAGC.,016505109,0000774380,P,01,LU,85279,7740,1985-09-18,1987-07-31
001270,AAMN,016509101,0000225014,P,01,LU,28820,6,1978-07-31,1982-04-30
001270,AAMN,016509101,0000225014,C,00X,LU,28820,6,1973-01-01,1978-07-30
001271,3ALSE,016634107,0000739624,C,01,LU,11827,6916,1984-03-13,1990-04-30
001274,Y,017175100,0000775368,P,01,LC,71271,20043,1987-01-30,2022-10-31
001274,Y,017175100,0000775368,C,00X,LC,17400,22775,1974-01-01,1974-01-30
001274,Y,017175100,0000775368,P,01,LC,17400,22775,1974-01-31,1986-12-23
001275,ALGH.,01799Y108,,P,01,LC,11835,163,1982-01-29,1985-11-29
001277,5566C,016783938,0000003656,P,02,LC,11843,17,1972-12-14,1988-10-18
001278,3SOCNQ,867071102,0000003662,C,01,LC,77829,29239,1992-08-19,2001-02-05
001278,3SOCNQ,867071102,0000003662,C,00X,LC,18817,20044,1950-01-01,1962-01-30
001278,3SOCNQ,867071102,0000003662,C,01,LC,18817,20044,1962-01-31,1990-09-28
001279,AYE,017361106,0000003673,C,00X,LU,10137,20045,1951-01-01,1962-01-30
001279,AYE,017361106,0000003673,P,01,LU,10137,20045,1962-01-31,2011-02-28
001281,ALN.2,018091108,0000003721,C,01,LU,44740,20046,1967-07-27,2003-07-31
001283,AORGB,017753104,0000003753,P,01,LU,11851,293,1972-12-14,2005-05-11
001284,AGN.3,018492108,0000215038,P,01,LU,59635,305,1972-12-14,1980-03-31
001285,6024B,018789107,,C,01,LU,28855,23581,1962-07-02,1988-05-31
001286,3ALNI,018716100,0000745452,C,01,LU,85295,7242,1984-10-01,1992-06-30
001288,QAAX,018859108,,P,01,LU,58747,25614,1976-01-20,1979-03-23
